sample.id	date	temp	spc	oxygen	salinity	secchi	ph	chla	tp	tn	orp	air.temp
1	4/19/13	13.47	0.481	8.96	0.23	0.28	8.13	9.81	68.8	1.09		3.9
2	4/25/13	11.71	0.548	9.37	0.26	1.25	8.12	5.44	33	1.14		23.9
3	5/2/13	19.58	0.567	9.48	0.27	2.12	8.28	3.67	22.8	0.85		22.4
4	5/9/13	18.36	0.553	12.41	0.27	1.5	8.45	12.7	28.4	0.848		23.9
5	5/17/13	20.86	0.577	8.26	0.28	2.23	8.22	2.81	19.6	0.755		22.8
6	5/24/13	20.17	0.591	8.18	0.29	3.2	8.14	3.56	24.9	0.777		12.2
7	5/29/13	20.16	0.585	7.83	0.28	3.2	8.11	7.47	15.4	0.773		23.9
8	6/7/13	23.01	0.566	9.8	0.27	1.85	8.32	8.91	19.6	0.801		21.1
9	6/14/13	24.61	0.558	9.61	0.27	2	8.24	6.11	16.3	0.678		23.9
10	6/21/13	25.17	0.524	9.02	0.25	2.18	8.38	0.92	25.3	0.725		27.2
11	6/28/13	25.1	0.414	6.98	0.2	1.2	8.09	7.37	42.7	0.988		26.1
12	7/5/13	23.26	0.422	8.51	0.2	1.6	8.31	16.95	35.7	1.01		22.8
13	7/12/13	25.12	0.438	9.47	0.21	2.25	8.61	9.28	25.9	0.852		23.9
14	7/19/13	29.56	0.448	8.35	0.22	2.2	8.64	10.15	23.5	0.678		30
15	7/26/19	25.05	0.415	9.63	0.2	2.05	8.67	31.01	36.5	0.882		16.1
16	8/1/13	26.27	0.415	10.48	0.2	1.25	9.1	39.31	1656	24.6		22.2
17	8/9/13	25.78	0.418	8.35	0.2	1.75	8.91	20.18	30.8	0.832		22
18	8/16/13	23.5	0.429	8.62	0.2	1	8.87	67.09	35.1	1.01		13.3
19	8/23/13	25.34	0.428	8.26	0.2	2	8.99	10.28	27.1	0.77		28
20	8/30/13	27.08	0.431	7.27	0.2	2.7	8.89	8.19	26.2	0.697		32
21	9/6/13	25.11	0.439	6.45	0.2	2.25	8.66	14.64	30.1	0.845		26
22	9/13/13	29.77	0.435	6	0.27	2	8.75	20.9	44.2	1.15		19
23	9/20/13	22.48	0.443	6.6	0.21	1.6	9.03	27.68	47.6	1.08		23
24	9/27/13	20.19	0.45	7.63	0.22	1.7	9.02	34.08	51.1	1.12		25
25	10/4/13	20.78	0.446	9.23	0.21	1.3	9.45	41.04	31.2	0.972		26
26	10/11/13	17.51	0.435	4.92	0.21	1.8	8.69	25.94	34.3	1.24		22
27	10/18/13	15.92	0.458	4.53	0.22	1.9	8.64	15.48	39.9	1.3		18
28	10/25/13	12.82	0.49	4.54	0.23	3	8.67	10.7	35.3	1.2		8
29	11/1/13	12.68	0.478	5.37	0.23	1.5	8.79	11.41	32.4	1.46		16
30	11/8/13	10.06	0.51	3.89	0.24	3.6	8.76	6.98	24.9	1.28		10
31	11/15/13	7.82	0.532	4.2	0.25	2.8	8.7	10.55	37.5	1.42		12
32	11/22/13	8.23	0.521	4.58	0.25	1.6	8.83	29.9	107	3.46		8
33	11/29/13											
34	12/6/13	4.01	0.535	5.26	0.25	2.5	8.93	15.8	44.5	1.73		-3
35	12/13/13	3.87	0.548	4.5	0.26	2.4	9.5	23.9	33	1.58		2
36	12/20/13	3.61	0.547	5.23	0.26	2.2	9.13	40.1	38.4	1.57		13
37	12/27/13	3.59	0.33	8.42	0.15	0.2	9.6	33.71	84.6	1.49		7
38	1/3/14	4.55	0.39	8.44	0.18	0.5	10.05	91.53	80.5	1.51		-7
39	1/10/14	4.07	0.472	6.4	0.22	1.1	9.31	14.81	36.4	1.37		6
40	1/17/14	4.32	0.528	4.84	0.25	1	9.09	36.91	35.6	1.41		-8
41	1/24/14	3.78	0.542	4.24	0.25	1.4	9.2	22.02	31.3	1.49		-6
42	1/31/14	3.94	0.571	3.59	0.27	1.4	9.15	16.89	33	1.62		4
43	2/7/14	3.07	0.567	4.1	0.27	1.2	9.2	30.38	55.2	1.75		-9
44	2/14/14	3.53	0.58	4.03	0.27	1	9.23	39.45	41.6	1.79		-1
45	2/21/14	3.35	0.586	3.99	0.28	0.5	9.2	4.34	62.1	1.57		6
46	2/28/14	4.98	0.61	3.75	0.29	1	9.2	2.99	26.8	1.48		1
47	3/7/14	4.77	0.618	3.9	0.29	1.4	9.37	14.75	26.6	1.38		-2
48	3/14/14	5.06	0.595	4.04	0.28	1.7	9.39	9	91	1.52		13
49	3/21/14	6.67	0.668	3.69	0.32	1.6	9.52	28.84	153	1.4		19
50	3/28/14	8.08	0.67	4.16	0.32	2.7	10.15	12.82	29	1.28		11
51	4/4/14	10.28	0.448	3.17	0.21	0.3	10.11	14.52	86.8	1.75		6
52	4/10/14	12.62	0.534	3.56	0.26	1.3	10.72	14.05	43.5	1.31		24
53	4/18/14	14.25	0.606	3.37	0.29	2.3	10.57	8.26	3200	42.6		21
54	4/25/14	16.66	0.633	2.71	0.31	3.5	10.39	6.41	369.6	17.1		14
55	5/3/14	15.44	0.639	2.71	0.31	2.4	10.24	5.07	48.6	1.18		18
56	5/9/14	22.11	0.643	2.14	0.31	2.5	10.38	3.36	72.2	1.33		24
57	5/17/14	17.19	0.548	2.35	0.26	1.4	10.23	6.55	42.9	1.3		14
58	5/23/14	22.11	0.495	1.94	0.24	1.3	10.09	1.03	51.6	1.27		24
59	5/30/14	26.31	0.539	1.87	0.26	2.8	10.32	12.32	32.7	1.1		29
60	6/5/14	25.52	0.538	2	0.26	2.2	10.47	4.21	35	1.08		25
61	6/13/14	25.04	0.543	1.98	0.26	3.2	10.55	60.52	23.2	0.957		
62	6/20/14	28.03	0.553	1.97	0.27	2.2	10.74	46.03	39.2	0.92		27
63	6/27/14	27.32	0.536	8.75	0.26	1.7	10.84	126.79	16.9	0.814		24
64	7/5/14	27.17	0.544	8.8	0.26	1.9	10.86	73.26	44.7	0.754		27
65	7/13/14	26.24	0.535	8.22	0.26	2.4	8.25	30.74	32.7	0.678		27
66	7/18/14	25.37	0.515	9.71	0.25	1.9	8.33	56	48	0.899	138.5	25
67	7/26/14	25.78	0.515	8.19	0.25	2.1	8.23	61.68	65	1.09	150.8	29
68	8/1/14	24.22	0.466	9.08	0.22	1.8	8.47	76.54	29.5	0.818	138.8	26
